zh_title,en_title,zh_def,en_def,category,tags,example,details,images,frequency
浮游植物（浮游藻类）,phytoplankton,漂浮于水体、能行光合作用的微型自养生物，是水域食物网的基础。,Microscopic photosynthetic organisms drifting in water; base of aquatic food webs.,生物学,生态;藻类,极地海域春季常见硅藻主导的浮游植物高峰。,常用叶绿素a评价其生物量。,,
浮游动物,zooplankton,以浮游植物或碎屑为食的异养浮游生物。,Heterotrophic plankton feeding on phytoplankton or detritus.,生物学,生态,桡足类以浮游植物为食。,与浮游植物共同决定能量传递。,,
硅藻,diatom,具有二氧化硅外壳（硅壳）的藻类，是高纬海域重要初级生产者。,Algae with silica frustules; key producers in polar seas.,生物学,藻类;极地,Nitzschia 与 Fragilariopsis 常见于海冰底部。,诊断色素为岩藻黄素。,,
甲藻,dinoflagellate,具鞭毛的单细胞藻类，部分能引发有害藻华。,Flagellated unicellular algae; some species cause HABs.,生物学,藻类;HAB,赤潮常由甲藻引发。,部分种具甲壳素板甲。,,
蓝藻（蓝细菌）,cyanobacteria,能行光合作用的细菌，可固氮并形成水华。,Photosynthetic bacteria; can fix nitrogen and form blooms.,生物学,藻类;HAB,水库中蓝藻水华出现藻蓝蛋白峰值。,诊断色素为藻蓝蛋白、藻红蛋白。,,
绿藻,green algae,绿藻门生物，广泛分布于海水和淡水。,Chlorophyta widely distributed in marine and fresh waters.,生物学,藻类,雪面绿藻造成“绿雪”现象。,叶绿素b为特征色素。,,
球石藻,coccolithophore,带有碳酸钙板片的浮游植物，能影响海洋碳循环与反照率。,Calcifying phytoplankton bearing CaCO3 plates; impact carbon cycle and albedo.,生物学,藻类;碳循环,Emiliania huxleyi 大量繁殖可改变海色。,可在遥感影像中形成亮带。,,
海冰藻,sea-ice algae,生活在海冰孔隙与冰底的藻类群体。,Algae inhabiting brine channels and under-ice habitats.,生物学,极地;藻类,海冰融化初期释放大量海冰藻入水柱。,低温弱光适应性强。,,
雪藻,snow algae,生存于雪表或冰面，常呈红色或绿色。,Algae living on snow/ice surfaces; often red or green blooms.,生物学,极地;藻类,夏季山区与极地可见“红雪”。,类胡萝卜素积累导致着色。,,
微微型浮游生物,picoplankton,粒径小于2微米的浮游生物。,Plankton smaller than 2 µm.,生物学,尺寸分类,含微型真核藻与微型蓝藻。,难以用常规显微分辨。,,
纳米型浮游生物,nanoplankton,粒径2–20微米的浮游生物。,Plankton sized 2–20 µm.,生物学,尺寸分类,多数小型硅藻与绿藻属于此类。,,,
微型浮游生物,microplankton,粒径大于20微米的浮游生物。,Plankton larger than 20 µm.,生物学,尺寸分类,链状硅藻常归于微型类。,,,
群落结构,community structure,不同类群的组成比例与多样性格局。,Composition and relative abundance patterns of groups in a habitat.,生态学,群落;监测,利用色素指示推断群落结构变化。,,,
功能类群,functional group,按生态或生理特征而非系统发育划分的类群。,Grouping species by ecological/physiological traits.,生态学,群落,以体型与营养策略划分的浮游植物功能群。,,,
属级识别,genus-level identification,将目标识别至属的层级。,Identifying organisms at the genus rank.,分类学,识别;分级,野外监测常先做属级筛查。,,,
种级识别,species-level identification,将目标识别到具体物种。,Identifying at species rank; finest common taxonomic granularity.,分类学,识别;分级,需要更高分辨率与形态细节。,,,
物种丰富度,species richness,样地或样本中物种数量。,Number of species present in a community.,生态学,多样性,Shannon 指数结合丰富度与均匀度。,,,
均匀度,evenness,个体在各物种间分配的均匀程度。,How evenly individuals are distributed among species.,生态学,多样性,均匀度低时少数优势种占据主导。,,,
藻华,bloom,藻类生物量迅速增加的现象。,Rapid increase in algal biomass.,生态学,监测;HAB,春季硅藻暴发。,,,
有害藻华,HAB,产生毒素或造成生态/经济危害的藻华。,Harmful algal bloom producing toxins or ecosystem impacts.,生态学,HAB;风险,微囊藻毒素污染饮用水源。,,,
叶绿素a,chlorophyll-a,主要光合色素，常作为藻类生物量指标。,Primary photosynthetic pigment; proxy for algal biomass.,生物化学,色素;监测,荧光法快速测定Chl-a。,,,
藻蓝蛋白,phycocyanin,蓝藻特征辅助色素，可用于指示蓝藻比例。,Cyanobacterial accessory pigment; indicates cyanobacteria abundance.,生物化学,色素;监测,多通道荧光仪区分蓝藻与其他类群。,,,
藻红蛋白,phycoerythrin,部分蓝藻与隐藻的辅助色素。,Accessory pigment in some cyanobacteria and cryptophytes.,生物化学,色素,红色荧光峰值用于群落判别。,,,
岩藻黄素,fucoxanthin,硅藻等类群的诊断色素。,Diagnostic pigment for diatoms and some haptophytes.,生物化学,色素;指示剂,HPLC色素指纹推断硅藻占比。,,,
初级生产力,primary productivity,自养生物固定碳的速率。,Rate of photosynthetic carbon fixation by producers.,生态学,生产力;碳循环,14C 同位素或氧法估算。,,,
卤水通道,brine channel,海冰中的微小盐水通道，藻类可栖居其中。,Micro-channels in sea ice where algae reside.,极地环境,极地;海冰,海冰藻在通道内形成生物膜。,,,
冰下藻华,under-ice bloom,发生在海冰下方水体的藻华。,Phytoplankton bloom occurring beneath sea ice.,极地环境,极地;监测,薄冰与融池提高光透过率触发藻华。,,,
附冰藻,epontic algae,生长于海冰表面或内部的藻类。,Ice-associated algae growing on/within sea ice.,极地环境,极地;藻类,春季为北极底栖生物提供食物脉冲。,,,
混合营养,mixotrophy,同时具自养与异养能力的营养策略。,Combining autotrophy and heterotrophy.,生态生理,营养;策略,部分甲藻能捕食细菌。,,,
光学显微镜,optical microscope,基于透镜成像，记录光强的传统显微镜。,Lens-based microscope recording intensity images.,成像与仪器,显微;光学,明场、相衬、DIC均属光学显微模式。,,,
相衬成像,phase contrast,利用相位差增强透明样本对比度的成像方法。,Technique enhancing contrast of transparent specimens via phase shifts.,成像与仪器,显微;对比增强,观察未染色活体藻类细胞结构。,,,
暗场成像,darkfield,斜入射照明突出散射边缘的成像方式。,Oblique illumination highlighting scattering edges.,成像与仪器,显微;对比增强,增强细小纤毛与轮廓。,,,
差分干涉对比,DIC,基于干涉的对比增强方法，突出微细结构。,Interference-based contrast enhancing fine structures.,成像与仪器,显微;对比增强,揭示硅藻壳纹理。,,,
荧光显微,fluorescence microscopy,激发荧光分子并记录发射的成像方法。,Excite fluorophores and record emission for contrast/labels.,成像与仪器,显微;荧光,叶绿素自发荧光用于定位叶绿体。,,,
数字全息显微,digital holographic microscopy,记录干涉条纹，数值重建幅度与相位信息的成像技术。,Records interference to reconstruct amplitude and phase numerically.,成像与仪器,全息;相位,无需机械调焦即可重建不同焦面。,,,
全息图,hologram,编码光振幅与相位信息的干涉条纹图案。,Interference fringe pattern encoding amplitude and phase.,成像与仪器,全息;数据,原始全息图需经数值重建才能可视化。,,,
数值重建,numerical reconstruction,将全息条纹经傅里叶/传播算法重建为幅相图像。,Fourier/propagation algorithms to retrieve amplitude/phase from holograms.,成像与仪器,全息;算法,角谱法与Fresnel传播常用。,,,
角谱法,angular spectrum method,全息重建中的波场传播数值方法。,Wave propagation method for hologram reconstruction.,成像与仪器,全息;算法,适合近场/远场统一处理。,,,
成像流式细胞仪,imaging flow cytometer,在微流道中高速拍摄单细胞/颗粒图像的仪器。,Captures images of cells/particles while flowing in a microchannel.,成像与仪器,流式;成像,FlowCam、ImageStream 属此类。,,,
流式细胞仪,flow cytometer,测量细胞散射与荧光信号的仪器，输出数值而非图像。,Measures light scatter/fluorescence; outputs numeric signals.,成像与仪器,流式;荧光,FSC/SSC 与多荧光通道。,,,
数字全息流式细胞术,digital holographic flow cytometry,在流式框架下应用全息成像以获取无标记三维信息。,Applies holography to flow cytometry for label-free 3D info.,成像与仪器,流式;全息,原始数据为全息条纹需重建。,,,
FlowCam 成像系统,FlowCam,商业化成像流式系统，用于浮游生物与颗粒成像与分类。,Commercial flow imaging system for plankton/particles.,成像与仪器,流式;成像;商业,可输出图像+形态统计。,,,
成像流式细胞机器人,IFCB,长期海上部署的成像流式系统，自动采样拍摄识别。,Imaging FlowCytobot for long-term automated marine monitoring.,成像与仪器,流式;长期部署,港口与近岸长期监测。,,,
PlanktoScope 开源成像平台,PlanktoScope,低成本开源成像装置，适合现场采集与公民科学。,Low-cost open-source plankton imaging device.,成像与仪器,开源;成像;低成本,材料成本约千美元级。,,,
OpenFlexure 开源显微镜,OpenFlexure Microscope,3D打印显微平台，可电动位移与自动对焦。,3D-printed microscope with motorized stages and autofocus.,成像与仪器,开源;显微,可批量采集训练数据。,,,
分光荧光计,spectrofluorometer,测量荧光光谱以推断色素或活性。,Measures fluorescence spectra to infer pigments/activity.,成像与仪器,荧光;色素,FluoroProbe、AlgaeTorch 属现场设备。,,,
AlgaeTorch 便携荧光仪,AlgaeTorch,手持快速测定叶绿素与藻蓝蛋白的现场仪器。,Handheld fluorometer for chlorophyll/PC in the field.,成像与仪器,荧光;现场,快速判断蓝藻占比变化。,,,
FluoroProbe 现场荧光探头,FluoroProbe,多通道荧光探头，用于估算不同藻类群体比例。,In-situ multi-channel fluorometer estimating algal groups.,成像与仪器,荧光;群落,区分绿藻、蓝藻、硅藻等。,,,
数值孔径,numerical aperture (NA),表征物镜收集光能力与分辨率的参数。,Optical parameter governing resolution and light-gathering power.,成像与仪器,光学;参数,NA越大分辨率越高。,,,
分辨率,resolution,系统可分辨的最小细节尺度。,Smallest resolvable feature size.,成像与仪器,光学;指标,以微米或线对/毫米表示。,,,
焦点堆叠,focus stacking,合成多焦面图像以增加景深。,Combine multiple focal planes to increase depth of field.,成像与仪器,显微;处理,用于厚样本的清晰呈现。,,,
微流控,microfluidics,在微尺度通道中操控液体的技术。,Handling fluids in microchannels for sampling/imaging.,成像与仪器,流式;芯片,用于定量给样与稳定成像。,,,
视场,field of view (FOV),单张图像覆盖的空间范围。,Area captured in a single image.,成像与仪器,成像;参数,FOV越大统计代表性越好。,,,
强度图像,intensity image,记录光强分布的标准显微图像。,Standard microscope output recording light intensity.,数据与处理,图像,明场图像即为强度图。,,,
相位图像,phase image,表征光学相位延迟的图像，可反映厚度或折射率。,Image of optical phase delay related to thickness/refractive index.,数据与处理,全息;相位,DHM 重建获得的相位图。,,,
复数光场,complex field,以实部与虚部表示的波前复数场。,Complex-valued wavefront with real and imaginary parts.,数据与处理,全息;数据,全息重建的中间表示。,,,
元数据,metadata,描述数据采集条件的附加信息，如时间、经纬度、设备等。,"Auxiliary info: time, GPS, device, magnification, etc.",数据与处理,数据;记录,用于域迁移与融合建模。,,,
图像增强,image augmentation,通过变换扩充数据以提升泛化能力。,Transforms to expand training data and improve generalization.,数据与处理,AI;训练,旋转、翻转、色彩抖动。,,,
去噪,denoising,降低图像噪声并尽量保留结构细节。,Reduce noise while preserving structures.,数据与处理,预处理,BM3D/UNet 去噪。,,,
去模糊,deblurring,补偿失焦或运动导致的模糊。,Restore sharpness from defocus or motion blur.,数据与处理,预处理,盲去卷积。,,,
图像分割,segmentation,将图像划分为有意义的区域或实例。,Partition image into meaningful regions/objects.,数据与处理,AI;任务,用U‑Net分割藻细胞。,,,
目标检测,detection,在图像中定位并分类目标的任务。,Locate and classify objects with bounding boxes.,数据与处理,AI;任务,YOLO 检测藻体实例。,,,
实例分割,instance segmentation,为每个目标给出像素级分割掩膜与类别。,Pixel-precise object masks with class labels.,数据与处理,AI;任务,Mask R‑CNN 生成藻体掩膜。,,,
平铺/拼图,tiling/mosaicking,将大视野分块采集并拼接为整图。,Scan tiles and stitch into a whole-slide image.,数据与处理,采集;后处理,自动扫描载玻片形成全景。,,,
域适配,domain adaptation,缓解不同数据分布间的偏移，提高跨设备泛化。,Mitigate distribution shift between datasets/devices.,数据与处理,AI;迁移,IFCB→PlanktoScope 迁移。,,,
开放集识别,open-set recognition,识别已知类别并排除未知类别。,Recognize known classes and reject unknowns.,数据与处理,AI;鲁棒,部署场景过滤未知碎屑。,,,
少样本学习,few-shot learning,在极少标注样本条件下学习新类别。,Learn new classes from very few labeled examples.,数据与处理,AI;小样本,原型网络分类稀有藻种。,,,
自监督学习,self-supervised learning,无需人工标注，依靠预文本身构造训练信号的学习方式。,Learn representations without manual labels.,数据与处理,AI;预训练,DINO/MoCo 在未标注极地图像上预训练。,,,
卷积神经网络,CNN,通过卷积提取局部空间特征的深度网络。,Deep model extracting local spatial features via convolutions.,模型与训练,AI;模型,ResNet/ConvNeXt 等。,,,
视觉Transformer,Vision Transformer (ViT),基于自注意力的视觉网络，擅长建模长程依赖。,Attention-based architecture modeling long-range dependencies.,模型与训练,AI;模型,ViT‑B/16、DeiT。,,,
残差网络,ResNet,引入残差连接以便训练更深的CNN。,CNN with skip connections to ease training of deep nets.,模型与训练,AI;模型,ResNet‑50 作为基线特征提取。,,,
ConvNeXt 网络,ConvNeXt,现代化CNN架构，与Transformer性能相当。,Modernized CNN competitive with Transformers.,模型与训练,AI;模型,ConvNeXt‑T 在小样本上表现稳健。,,,
U‑Net 网络,U-Net,编码器‑解码器结构，常用于分割。,Encoder–decoder CNN for image segmentation.,模型与训练,AI;分割,分割硅藻壳体区域。,,,
Mask R‑CNN,Mask R-CNN,两阶段检测器，同时输出框与掩膜。,Two-stage detector producing boxes and masks.,模型与训练,AI;检测;分割,实例分割链状藻体。,,,
YOLO 系列,YOLO,单阶段实时目标检测系列模型。,One-stage real-time object detector family.,模型与训练,AI;检测;实时,船上实时筛查样本帧。,,,
对比学习,contrastive learning,拉近相似样本、推远不相似样本以学习表示。,Learn by pulling similar pairs together and pushing apart dissimilar.,模型与训练,AI;预训练,SimCLR/DINO 增强鲁棒性。,,,
原型网络,prototype network,用类别原型的距离进行分类的度量学习方法。,Classify by distance to learned class prototypes.,模型与训练,AI;小样本,少样本新类快速收敛。,,,
知识蒸馏,knowledge distillation,将大模型知识迁移到小模型。,Transfer knowledge from large to small models.,模型与训练,AI;压缩,教师‑学生框架压缩部署。,,,
类别不平衡,class imbalance,类别频次差异过大导致学习偏置。,Unequal class frequencies causing biased learning.,模型与训练,AI;长尾,重加权与重采样缓解长尾。,,,
长尾学习,long-tail learning,针对重尾分布设计的训练策略。,Techniques for heavy-tailed class distributions.,模型与训练,AI;长尾,LDAM/CB Loss。,,,
不确定性估计,uncertainty estimation,量化模型置信度，用于筛选与主动学习。,Quantify prediction confidence for screening/active learning.,模型与训练,AI;可信,MC Dropout/DE ensembles。,,,
主动学习,active learning,选择信息量最大的样本进行标注以降低成本。,Select informative samples for labeling to reduce cost.,模型与训练,AI;标注,基于不确定度的回传策略。,,,
边缘端推理,edge inference,在设备端低延迟运行模型。,Run models on-device with low latency.,模型与训练,工程;部署,Jetson/RPi 上实时分类。,,,
准确率,accuracy,总体预测中正确的比例。,Proportion of correct predictions overall.,评估与指标,指标,Top‑1 准确率。,,,
精确率,precision,被判为正类中真阳性的比例。,TP/(TP+FP).,评估与指标,指标,控制误报。,,,
召回率,recall,实际正类中被检出的比例。,TP/(TP+FN).,评估与指标,指标,控制漏检。,,,
F1 值,F1-score,精确率与召回率的调和平均。,Harmonic mean of precision and recall.,评估与指标,指标,不平衡数据常用。,,,
宏平均 F1,macro-F1,对各类别F1取算术平均，突出稀有类贡献。,Average F1 across classes; emphasizes rare classes.,评估与指标,指标;长尾,评估长尾识别性能。,,,
平均精度均值,mAP,检测/分割任务的平均精度均值。,Mean average precision for detection/segmentation.,评估与指标,指标;检测,COCO 风格评估。,,,
ROC 曲线下面积,AUROC,ROC 曲线下的面积，阈值无关的性能度量。,Area under the ROC curve; threshold-free metric.,评估与指标,指标;开放集,用于未知类拒识质量评估。,,,
PR 曲线下面积,AUPRC,精确率-召回率曲线下面积，适合不平衡数据。,Area under precision–recall curve; for imbalanced data.,评估与指标,指标,长尾检测性能衡量。,,,
混淆矩阵,confusion matrix,展示预测与真实标签对应关系的矩阵。,Matrix of predicted vs true classes.,评估与指标,分析;可视化,定位易混类别对。,,,
交叉验证,cross-validation,通过多次划分训练/验证集评估泛化能力。,Resampling strategy to assess generalization.,评估与指标,评估;稳健性,k 折交叉验证。,,,
外部验证,external validation,在独立异域数据上评估模型性能。,Evaluate on independent out-of-domain dataset/device.,评估与指标,评估;泛化,IFCB 训练→PlanktoScope 测试。,,,
消融实验,ablation study,逐一移除模块以分析其贡献。,Systematically remove components to measure contribution.,评估与指标,实验设计,去掉元数据通道观察性能变化。,,,
采样方案,sampling protocol,标准化的采集与保存流程。,Standardized method for collecting and preserving samples.,流程与运维,现场;标准,定深取样+避光冷藏。,,,
固定液,fixative,用于保持细胞结构的化学试剂。,"Chemicals preserving cellular structures (e.g., Lugol’s).",流程与运维,实验;保存,Lugol 碘液常用于藻样固定。,,,
载玻片制备,slide preparation,将样本安装于载玻片并覆盖封片的过程。,Mount samples on slides with coverslips.,流程与运维,实验;制样,控制厚度避免重叠。,,,
流道/流通池,flow channel,样本在其中流动以便成像的微通道结构。,Micro-channel for flowing samples during imaging.,流程与运维,流式;芯片,矩形截面有助于稳定焦面。,,,
泵系统,pumping system,驱动样本流动的蠕动泵或注射泵。,Peristaltic or syringe pump driving the flow.,流程与运维,硬件;供样,恒流可稳定曝光与清晰度。,,,
防雾/加热,anti-fog/heating,避免低温环境下镜面结露的措施。,Environmental control to avoid condensation in cold regions.,流程与运维,极地;工程,镜筒加热带与干燥剂。,,,
校准,calibration,对仪器参数进行标准化调整。,Adjust instrument parameters to standards.,流程与运维,质量;标准,用分辨率板/荧光标准样。,,,
质量控制,quality control (QC),对焦、曝光、伪影的自动化质量检查。,"Automated checks for focus, exposure, artifacts.",流程与运维,质量;自动化,拍摄前后QC打分。,,,
数据整理,data curation,过滤、标注与组织数据集的过程。,"Filtering, labeling, and organizing datasets.",流程与运维,数据;管理,去除严重失焦与重复帧。,,,
元数据模式,metadata schema,数据集中使用的标准化字段集合。,"Standard fields for datasets (device, GPS, depth, etc.).",流程与运维,数据;标准,遵循Darwin Core或自定义表。,,,
基准评测协议,benchmark protocol,共享的数据划分与指标以便公平比较。,Shared splits and metrics enabling fair comparison.,流程与运维,评测;标准,同域/跨域/开放集三套协议。,,,
报告生成,report generation,将结果自动汇总为图表与文字的流程。,Automated summaries/tables for deployments.,流程与运维,自动化;可视化,现场日报与异常告警。,,,
